Year,RoundNumber,EventName,Circuit,Driver,Team,LapNumber,LapTimeSec,Sector1TimeSec,Sector2TimeSec,Sector3TimeSec,Stint,Compound,TyreLife,PitOutTime,PitInTime,IsPersonalBest,TrackStatus,Position
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,1.0,99.019,,42.414,23.842,1.0,SOFT,4.0,,,False,12,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,2.0,97.974,31.342,42.504,24.128,1.0,SOFT,5.0,,,True,12,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,3.0,98.006,31.388,42.469,24.149,1.0,SOFT,6.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,4.0,97.976,31.271,42.642,24.063,1.0,SOFT,7.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,5.0,98.035,31.244,42.724,24.067,1.0,SOFT,8.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,6.0,97.986,31.341,42.632,24.013,1.0,SOFT,9.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,7.0,98.021,31.29,42.763,23.968,1.0,SOFT,10.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,8.0,98.154,31.291,42.833,24.03,1.0,SOFT,11.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,9.0,98.278,31.336,42.823,24.119,1.0,SOFT,12.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,10.0,98.369,31.361,42.884,24.124,1.0,SOFT,13.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,11.0,98.483,31.342,42.978,24.163,1.0,SOFT,14.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,12.0,98.591,31.408,42.951,24.232,1.0,SOFT,15.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,13.0,98.482,31.389,42.907,24.186,1.0,SOFT,16.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,14.0,101.295,31.427,42.876,26.992,1.0,SOFT,17.0,,0 days 01:25:33.830000,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,15.0,118.378,51.854,42.629,23.895,2.0,SOFT,1.0,0 days 01:25:58.127000,,False,1,2.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,16.0,97.801,31.209,42.711,23.881,2.0,SOFT,2.0,,,True,1,2.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,17.0,97.648,31.17,42.623,23.855,2.0,SOFT,3.0,,,True,1,2.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,18.0,97.614,31.211,42.569,23.834,2.0,SOFT,4.0,,,True,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,19.0,97.712,31.243,42.608,23.861,2.0,SOFT,5.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,20.0,97.788,31.186,42.766,23.836,2.0,SOFT,6.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,21.0,97.582,31.168,42.572,23.842,2.0,SOFT,7.0,,,True,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,22.0,97.651,31.224,42.548,23.879,2.0,SOFT,8.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,23.0,97.552,31.153,42.514,23.885,2.0,SOFT,9.0,,,True,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,24.0,97.387,31.145,42.398,23.844,2.0,SOFT,10.0,,,True,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,25.0,97.372,31.145,42.344,23.883,2.0,SOFT,11.0,,,True,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,26.0,97.682,31.213,42.533,23.936,2.0,SOFT,12.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,27.0,97.379,31.079,42.349,23.951,2.0,SOFT,13.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,28.0,97.651,31.112,42.554,23.985,2.0,SOFT,14.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,29.0,97.571,31.045,42.533,23.993,2.0,SOFT,15.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,30.0,97.549,31.185,42.443,23.921,2.0,SOFT,16.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,31.0,97.431,31.04,42.464,23.927,2.0,SOFT,17.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,32.0,97.691,31.139,42.523,24.029,2.0,SOFT,18.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,33.0,97.686,31.112,42.505,24.069,2.0,SOFT,19.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,34.0,97.839,31.129,42.615,24.095,2.0,SOFT,20.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,35.0,97.85,31.211,42.5,24.139,2.0,SOFT,21.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,36.0,100.964,31.35,42.582,27.032,2.0,SOFT,22.0,,0 days 02:01:45.619000,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,37.0,118.49,52.755,42.071,23.664,3.0,HARD,1.0,0 days 02:02:10.556000,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,38.0,96.297,31.034,41.772,23.491,3.0,HARD,2.0,,,True,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,39.0,96.446,30.818,42.125,23.503,3.0,HARD,3.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,40.0,96.942,31.175,42.247,23.52,3.0,HARD,4.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,41.0,120.495,31.381,55.533,33.581,3.0,HARD,5.0,,,False,126,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,42.0,104.824,38.946,42.174,23.704,3.0,HARD,6.0,,,False,671,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,43.0,96.89,31.13,42.295,23.465,3.0,HARD,7.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,44.0,96.236,30.783,42.005,23.448,3.0,HARD,8.0,,,True,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,45.0,97.015,31.079,42.221,23.715,3.0,HARD,9.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,46.0,96.701,31.03,42.003,23.668,3.0,HARD,10.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,47.0,97.009,31.094,42.205,23.71,3.0,HARD,11.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,48.0,96.918,31.01,42.199,23.709,3.0,HARD,12.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,49.0,96.962,31.124,42.026,23.812,3.0,HARD,13.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,50.0,97.25,31.07,42.375,23.805,3.0,HARD,14.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,51.0,97.427,31.154,42.202,24.071,3.0,HARD,15.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,52.0,96.919,31.033,42.133,23.753,3.0,HARD,16.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,53.0,96.89,30.906,42.217,23.767,3.0,HARD,17.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,54.0,96.678,30.988,41.938,23.752,3.0,HARD,18.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,55.0,96.322,30.964,41.747,23.611,3.0,HARD,19.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,56.0,97.205,31.091,42.27,23.844,3.0,HARD,20.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,57.0,96.373,30.96,41.763,23.65,3.0,HARD,21.0,,,False,1,1.0
2023,1,Bahrain Grand Prix,Sakhir,GAS,Alpine,1.0,109.649,,46.78,25.135,1.0,SOFT,1.0,,,False,12,19.0
2023,1,Bahrain Grand Prix,Sakhir,GAS,Alpine,2.0,100.438,31.738,43.938,24.762,1.0,SOFT,2.0,,,True,21,18.0
2023,1,Bahrain Grand Prix,Sakhir,GAS,Alpine,3.0,100.643,31.8,44.083,24.76,1.0,SOFT,3.0,,,False,1,18.0
2023,1,Bahrain Grand Prix,Sakhir,GAS,Alpine,4.0,100.894,31.514,44.492,24.888,1.0,SOFT,4.0,,,False,1,18.0
