Year,EventName,Circuit,Driver,Team,LapNumber,Stint,Compound,TyreLife,StopDurationSec
2023,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,14.0,1.0,SOFT,17.0,
2023,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,36.0,2.0,SOFT,22.0,
2023,Bahrain Grand Prix,Sakhir,GAS,Alpine,9.0,1.0,SOFT,9.0,
2023,Bahrain Grand Prix,Sakhir,GAS,Alpine,25.0,2.0,HARD,16.0,
2023,Bahrain Grand Prix,Sakhir,GAS,Alpine,40.0,3.0,HARD,15.0,
2023,Bahrain Grand Prix,Sakhir,PER,Red Bull Racing,17.0,1.0,SOFT,20.0,
2023,Bahrain Grand Prix,Sakhir,PER,Red Bull Racing,34.0,2.0,SOFT,19.0,
2023,Bahrain Grand Prix,Sakhir,ALO,Aston Martin,14.0,1.0,SOFT,17.0,
2023,Bahrain Grand Prix,Sakhir,ALO,Aston Martin,34.0,2.0,HARD,20.0,
2023,Bahrain Grand Prix,Sakhir,LEC,Ferrari,13.0,1.0,SOFT,13.0,
2023,Bahrain Grand Prix,Sakhir,LEC,Ferrari,33.0,2.0,HARD,20.0,
2023,Bahrain Grand Prix,Sakhir,STR,Aston Martin,15.0,1.0,SOFT,18.0,
2023,Bahrain Grand Prix,Sakhir,STR,Aston Martin,30.0,2.0,HARD,15.0,
2023,Bahrain Grand Prix,Sakhir,SAR,Williams,12.0,1.0,SOFT,12.0,
2023,Bahrain Grand Prix,Sakhir,SAR,Williams,30.0,2.0,SOFT,18.0,
2023,Bahrain Grand Prix,Sakhir,SAR,Williams,40.0,3.0,HARD,10.0,
2023,Bahrain Grand Prix,Sakhir,MAG,Haas F1 Team,15.0,1.0,HARD,15.0,
2023,Bahrain Grand Prix,Sakhir,MAG,Haas F1 Team,29.0,2.0,HARD,14.0,
2023,Bahrain Grand Prix,Sakhir,MAG,Haas F1 Team,40.0,3.0,SOFT,11.0,
2023,Bahrain Grand Prix,Sakhir,DEV,AlphaTauri,11.0,1.0,SOFT,11.0,
2023,Bahrain Grand Prix,Sakhir,DEV,AlphaTauri,27.0,2.0,HARD,16.0,
2023,Bahrain Grand Prix,Sakhir,TSU,AlphaTauri,10.0,1.0,SOFT,10.0,
2023,Bahrain Grand Prix,Sakhir,TSU,AlphaTauri,26.0,2.0,HARD,16.0,
2023,Bahrain Grand Prix,Sakhir,TSU,AlphaTauri,40.0,3.0,HARD,14.0,
2023,Bahrain Grand Prix,Sakhir,ALB,Williams,11.0,1.0,SOFT,11.0,
2023,Bahrain Grand Prix,Sakhir,ALB,Williams,26.0,2.0,SOFT,15.0,
2023,Bahrain Grand Prix,Sakhir,ALB,Williams,40.0,3.0,HARD,14.0,
2023,Bahrain Grand Prix,Sakhir,ZHO,Alfa Romeo,12.0,1.0,SOFT,12.0,
2023,Bahrain Grand Prix,Sakhir,ZHO,Alfa Romeo,32.0,2.0,HARD,20.0,
2023,Bahrain Grand Prix,Sakhir,ZHO,Alfa Romeo,54.0,3.0,SOFT,25.0,
2023,Bahrain Grand Prix,Sakhir,HUL,Haas F1 Team,11.0,1.0,SOFT,14.0,
2023,Bahrain Grand Prix,Sakhir,HUL,Haas F1 Team,26.0,2.0,HARD,15.0,
2023,Bahrain Grand Prix,Sakhir,HUL,Haas F1 Team,40.0,3.0,HARD,14.0,
2023,Bahrain Grand Prix,Sakhir,OCO,Alpine,12.0,1.0,SOFT,15.0,
2023,Bahrain Grand Prix,Sakhir,OCO,Alpine,15.0,2.0,HARD,3.0,
2023,Bahrain Grand Prix,Sakhir,OCO,Alpine,32.0,3.0,HARD,20.0,
2023,Bahrain Grand Prix,Sakhir,OCO,Alpine,41.0,4.0,HARD,9.0,
2023,Bahrain Grand Prix,Sakhir,NOR,McLaren,10.0,1.0,SOFT,10.0,
2023,Bahrain Grand Prix,Sakhir,NOR,McLaren,17.0,2.0,HARD,7.0,
2023,Bahrain Grand Prix,Sakhir,NOR,McLaren,27.0,3.0,SOFT,13.0,
2023,Bahrain Grand Prix,Sakhir,NOR,McLaren,37.0,4.0,MEDIUM,10.0,
2023,Bahrain Grand Prix,Sakhir,NOR,McLaren,47.0,5.0,HARD,10.0,
2023,Bahrain Grand Prix,Sakhir,NOR,McLaren,54.0,6.0,SOFT,11.0,
2023,Bahrain Grand Prix,Sakhir,HAM,Mercedes,12.0,1.0,SOFT,15.0,
2023,Bahrain Grand Prix,Sakhir,HAM,Mercedes,30.0,2.0,HARD,18.0,
2023,Bahrain Grand Prix,Sakhir,SAI,Ferrari,13.0,1.0,SOFT,16.0,
2023,Bahrain Grand Prix,Sakhir,SAI,Ferrari,31.0,2.0,HARD,18.0,
2023,Bahrain Grand Prix,Sakhir,RUS,Mercedes,13.0,1.0,SOFT,16.0,
2023,Bahrain Grand Prix,Sakhir,RUS,Mercedes,31.0,2.0,HARD,18.0,
2023,Bahrain Grand Prix,Sakhir,BOT,Alfa Romeo,11.0,1.0,SOFT,11.0,
2023,Bahrain Grand Prix,Sakhir,BOT,Alfa Romeo,29.0,2.0,HARD,18.0,
2023,Bahrain Grand Prix,Sakhir,PIA,McLaren,13.0,1.0,SOFT,13.0,
2023,Saudi Arabian Grand Prix,Jeddah,VER,Red Bull Racing,18.0,1.0,MEDIUM,18.0,
2023,Saudi Arabian Grand Prix,Jeddah,GAS,Alpine,14.0,1.0,MEDIUM,14.0,
2023,Saudi Arabian Grand Prix,Jeddah,PER,Red Bull Racing,18.0,1.0,MEDIUM,18.0,
2023,Saudi Arabian Grand Prix,Jeddah,ALO,Aston Martin,18.0,1.0,MEDIUM,18.0,
2023,Saudi Arabian Grand Prix,Jeddah,LEC,Ferrari,16.0,1.0,SOFT,16.0,
2023,Saudi Arabian Grand Prix,Jeddah,STR,Aston Martin,13.0,1.0,MEDIUM,13.0,
2023,Saudi Arabian Grand Prix,Jeddah,SAR,Williams,18.0,1.0,HARD,18.0,
2023,Saudi Arabian Grand Prix,Jeddah,MAG,Haas F1 Team,8.0,1.0,MEDIUM,8.0,
